punto,generacion_GWh,excedente_GWh,capex_total_MUSD,lcoe_USD_kWh,emisiones_evitadas_tCO2,viviendas_rurales,f1_beneficio_USD,beneficio_neto_total_USD,pct_pot,pct_cobertura_rural,pct_cobertura_rural_techo,viviendas_rurales_techo,pct_demanda_departamental
0,66.96342498990205,47.02942874990204,49.12233948781246,0.1045040640086532,7684.608657733993,135835.89064278637,4304223.800091876,258704.86586201657,32.160447576346385,155.21263613829055,100.0,87516.0,1.9353674382675736
1,84.46012645130507,64.52613021130509,58.68380635925713,0.09898248304168063,10543.569676527251,186371.90797269225,3631719.834662966,-413799.0995668932,40.56356838734567,212.95752544985177,100.0,87516.0,2.655396304991979
2,97.68102341464349,77.74702717464346,63.52152151598561,0.092640840603559,12703.864240336741,224558.04720185138,3463632.2236912753,-581886.7105385838,46.91315345958234,256.59084876119954,100.0,87516.0,3.1994661388742163
3,109.5345466962435,89.60055045624347,71.16091087134457,0.0925512266857447,14640.729944550183,258794.778010845,2861384.5845991243,-1184134.3496307349,52.60603153668764,295.71138764436785,100.0,87516.0,3.687265450874217
4,124.77686575699207,104.84286951699208,77.58046901256566,0.08857478858887667,17131.324879076503,302819.4247078904,2542891.4674150227,-1502627.4668148365,59.92644268903044,346.0160710131752,100.0,87516.0,4.314521379300086
5,138.5371111299305,118.60311488993047,84.8494458864337,0.0872518570984427,19379.748973014637,342563.37302663876,2058087.1858693263,-1987431.7483605328,66.53506000543537,391.4294220789784,100.0,87516.0,4.880786620984793
6,153.90278945793048,133.96879321793048,91.97965104073879,0.0851406697703499,21890.500811809838,386944.3203716305,1672394.596840504,-2373124.337389355,73.91471677205334,442.14123174234487,100.0,87516.0,5.5131190624662745
7,165.85879852293047,145.9248022829305,99.24862791460683,0.08524674251725121,23844.112693030842,421477.06259382656,1104067.364494809,-2941451.56973505,79.65681557920422,481.6000075344241,100.0,87516.0,6.005135896416893
8,181.22447685093047,161.29048061093047,106.37883306891193,0.08362385096139217,26354.86453182604,465858.00993881817,718374.7754659858,-3327144.1587638734,87.03647234582219,532.3118171977903,100.0,87516.0,6.637468337898373
9,195.14767151207303,175.21367527207306,119.09211362759105,0.08693835642156966,28629.914539456735,506072.6074293975,-536978.5169866327,-4582497.451216492,93.72334913061128,578.2629546933105,100.0,87516.0,7.210439311607946
10,208.2167072797607,188.2827110397607,136.50852264466113,0.09339765846975957,30765.394983896895,543820.1234110792,-2486227.145620239,-6531746.079850098,100.0,621.3950859398043,100.0,87516.0,7.748259713570399
